id,Year,effect,se,t1,t2,n1,n2,size,male,age,indirectness,rob
"Harrison,2019",2019,-17.3,3.8,Resmetirom,Placebo,79,39,118,0.5,50.4,1,2
"Harrison,2023",2023,-26.8,6,Resmetirom,Placebo,314,309,623,0.46,56.1,1,2
"Harrison,2024",2024,-16.4,1.9,Resmetirom,Placebo,323,321,644,0.44,56.7,1,2
"Shankar,2024",2024,-0.43,3.6,Glucagon receptor agonists,Placebo,25,24,49,0.45,55.8,1,2
"Sanyal_b,2024",2024,-0.26,2.38,Glucagon receptor agonists,Placebo,74,74,148,0.47,50.8,1,2
